fecha,departamento,municipio,precipitacion_mm,demanda_municipio_est_gwh,demanda_predicha_gwh,error_absoluto
2026-01-01,Antioquia,Antioquia,0.0,0.0,0.0,0.0
2026-01-01,Arauca,Arauca,0.0,0.0,0.0,0.0
2026-01-01,Atlántico,Atlántico,0.0,0.0,0.0,0.0
2026-01-01,Bogotá,Bogotá,0.0,0.0,0.0,0.0
2026-01-01,Bogotá,Bogotá (municipio),0.0,0.0,0.0,0.0
2026-01-01,Bolívar,Bolívar,0.0,0.0,0.0,0.0
2026-01-01,Bolívar,Cartagena,0.0,0.0,0.0,0.0
2026-01-01,Bolívar,El Carmen de Bolívar,0.0,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-01,Bolívar,Magangué,0.0,0.0,0.008159550488202523,0.008159550488202523
2026-01-01,Bolívar,Turbaco,0.0,0.0,0.011169673021030193,0.011169673021030193
2026-01-01,Boyacá,Boyacá,0.0,0.0,0.0,0.0
2026-01-01,Boyacá,Chiquinquira,0.0,0.010551,0.015905901455639058,0.005354901455639058
2026-01-01,Boyacá,Duitama,0.0,0.034087,0.04421937429483693,0.010132374294836932
2026-01-01,Boyacá,Puerto Boyacá,0.0,0.0,0.008888709857893895,0.008888709857893895
2026-01-01,Boyacá,Sogamoso,0.0,0.297483,0.4497684761538407,0.1522854761538407
2026-01-01,Caldas,Caldas,0.0,0.0,0.0,0.0
2026-01-01,Caldas,Chinchiná,2.9,0.0,0.0,0.0
2026-01-01,Caldas,La Dorada,2.9,0.006297,0.008159550488202523,0.0018625504882025237
2026-01-01,Caldas,Manizales,2.9,0.291773,0.7969984664045584,0.5052254664045583
2026-01-01,Caldas,Riosucio,2.9,0.0,0.014896440910434704,0.014896440910434704
2026-01-01,Caldas,Villamaría,2.9,0.0,0.020167802642475308,0.020167802642475308
2026-01-01,Caquetá,Caquetá,0.0,0.0,0.0,0.0
2026-01-01,Caquetá,Belén de los Andaquíes,0.0,0.0,0.0,0.0
2026-01-01,Caquetá,Florencia,0.0,0.009042,0.0012351607043836275,0.007806839295616372
2026-01-01,Caquetá,San Vicente del Caguán,0.0,0.0,0.014896440910434704,0.014896440910434704
2026-01-01,Casanare,Casanare,0.0,0.0,0.0,0.0
2026-01-01,Casanare,Aguazul,0.0,0.018908,0.023258560074596365,0.004350560074596364
2026-01-01,Casanare,Paz de Ariporo,0.0,0.0,0.008888709857893895,0.008888709857893895
2026-01-01,Casanare,Tauramena,0.0,0.4427,0.5914395994664772,0.1487395994664772
2026-01-01,Casanare,Yopal,0.0,0.085376,0.10089558889802479,0.015519588898024794
2026-01-01,Cauca,Cauca,0.0,0.0,0.0,0.0
2026-01-01,Cauca,Patía,0.0,0.0,0.008888709857893895,0.008888709857893895
2026-01-01,Cauca,Popayán,0.0,0.0,0.008888709857893895,0.008888709857893895
2026-01-01,Cauca,Puerto Tejada,0.0,0.058133,0.014896440910434704,0.043236559089565293
